,twitts,sentiment
252,@isabellaxxcsi &quot;franzne&quot; still my old account (on tg).  hmm. i think nothing's new with me. haha! still a jobros fan. ) how about youu?,1
253,being tormented by my cruel and sadistic office mates ,0
254,Waiting in line at the bank  it's taking forever  ,0
255,"@therealsavannah sweetie i just saw your cover of Battlefield,its amazing.like always  your such a great singer! Xoxo-NGA",1
256,@xo_mcflyandjb haha thats awesome!! loved it  NOW I WANT HINTS ,1
257,@chubbystewart  Congrats Tony!!!  One million in the pocket!  And you looked great doing it.  ,1
258,"@ModelMandyLynn My current favourites are Life, House and formerly Boston Legal. I guess I enjoy sarcasm ",1
259,@jamestubb did you like the film? i really want to see it but everyone tells me everyone else says it's terrible ,0
260,"ok list of browsers to download today, Safari, Chrome &amp; Firefox. ",1
261,Saturdaayyyyyyyy! But i have no moneyyyy  SUCKS to be me,0
262,Ikea with Bradley looking at baby things ,1
263,"@trataka Hi James, @Banksyart is now at @Banksyart2 - he's been posting there since having probs with his @Banksyart account. ",1
264,"@JackAllTimeLow Where have you been tonight? Alex, Rian, Vinny, and Danny have already joined us &amp; we miss you  stickam.com/woahitssarrah",0
265,&quot;a friend is someone who walks in when the whole world walks out&quot; - cute. ,1
266,@OffRoad_Dude only wishes he was as good as me! ,1
267,"Watching WIS through antenna. No cable yet. I'll sure miss you in the future, rabbit ears ",0
268,bottega louie with moms and broke the bank at the bakery...i tried all those damn macarons! @madmojo alliteration is fun ,1
269,Finally leaving. Then might go to the mall. After that I have to fiind something to do for a few hours AND THEN movies ,1
270,"@pottymouthmama eBay  had to drive an hour to get it, but worth the cheapness.",1
271,waiting for my trampolin ,1
272,"@ChadTheElder UR welcome! I miss ya! but, I understand family first  hope you do a state fair show. I might just be persuaded to come out.",1
273,Man june is an expensive month... ,0
274,"@bkkrakora ew, i used to get &quot;suicides&quot; in mid. school and mix like 5 sodas together. then drink it. i think i remember enjoying it, too. ",0
275,Aww! My daddy called me! ,1
276,Love me some Gotti's Way ...I see yU Deb ,1
277,I don't feel very well today &amp; I don't know why ,0
278,@emokidsloveme LOL - righto! I'm with you on that one ,1
279,"@Just2CUsmile Awww Iris, I'm sorry you are having such a rough month   (((HUGS)))",0
280,"@LipstickNYC hmmm i owed you a story yesterday correct?  if so, blame that on teaching and the massive bday party thrown.  extension boss?",0
281,My poor finger.  http://bit.ly/13Ec93,0
282,should i go to my formal? i really don't know ,0
283,"@rgoodchild The last search I put in TweetDeck ,now keeps tweeting a result every min;&amp; I can't get rid of it no matter what I do  Also..",0
284,So who ended up number #1 for West Covina Lanes Showtime bowling league?  That's right...Team #4...that's us!  That was a long 30 weeks ,1
285,@ErinMabe I can't sleep either... very sick this evening... ,0
286,@DianaWyatt  There are a couple of Gordon Lightfoot songs that they haven't got on Blip.I might sue them lol ,1
287,preparing for going out tonight... please please nooo raiiin!! me and my luck ,0
288,@eliiiiza Woolworths Geelong West. My local. ,0
289,"getting ready... omgosh, so nervous ",0
290,A guy on a walkie talkie just swore at me...  People are such meanies...,0
291,watching the universe at historny channel. and talking with my ex girlfriend ,0
292,@reneehendricks what game you playing there? read your post.  *hugs*,0
293,I cant watch anythgin till tonight ,0
294,its sunnnnnnnnnnnnnnny! definately a day for a BBQ  (via @Kaaayleigh),1
295,found out yesterday im such a hard person to have in ur life  wat can i say? at least ur thinking about me ;),0
296,@Kacica That is not funny  I'm not an elephant! btw. Nice circus! http://bit.ly/Vzwjg Go visit it ;).,0
297,@de_luv: I need my boo. ,0
298,@angel9293 Then I'll be like RAPE RAPE HALEY IS TOUCHING MY SPECIAL PLACE!!! ,0
299,@goldstatus south america or europe? both have their share of attractive singles ,1
300,Punching bags are my new best friend ,1
301,"@phatelara nice?? so if I do celebrate my bday there, you must come!!  ",1
302,away to schoooooool. BLAH too early ,1
303,@kamikazeemcee Oh and I would've liked your pants down joke. ,0
304,@TareshMonchel thanks! I'll try my best.... Same 2 u ,1
305,My friend michelle from work. Very fun! ,1
306,"CONANNN O'BRIENNNN!!!  ...I've missed you, old friend!  lol",1
307,new @mashable iphone app in the appstore now... big fan  http://tinyurl.com/dyr6dh,1
308,is recovering from food poisoning ,0
309,@charltonbrooker Its fucking awful ,0
310,@bethkilpatrick I left my chocolate syrup in your truck.  And right now I have SO MUCH MILK.,0
311,"aveda, all day, then hopefully some pool time ",1
312,Who'S mitchell? Mustard donuts?   ?ellohveeE!,1
313,"@whiteywitters I reallly want to go, but I dunno who I'd go with! Sounds amazing though  xxxxxxxxx",1
314,@thenurulh yes yes.. so true. so expensive! ,0
315,@xxkassyxx oh my hoppus! yes!!!! i'll bring the gummie bears ,1
316,"Good night tweeps ! If I can't sleep, I'll twolla back ",1
317,"2.5hrs and first nightshift is over!!!  then 4 more to go... Trying to keep busy, but running out of things to do.",1
318,"first sunday off in AGES. family channel &amp; breakfast in bed, you are mine ",1
319,"&quot;Pokerface&quot; is in my head, and won't go away   Trousers... hehe.",0
320,Met ling naar Hotel New York 4 lunch! ,1
321,"#followfriday @neiltring, @Whatever_Ista, @missdmaree, @cleverrtia, @jareed007, @thisisScoman, @suzysmiles all have great tweets! ",1
322,@jesscorrie aww  yeah YOU BETTER COME jk  i have solos tomorrow!!!!,0
323,@the_crooked_toe Poynt does look good. It's not for the uk though. ,0
324,"@nettabrielle and when you find that bf I hope he has a brother,cousin or friend just as dope  for me of course lol",1
325,@livelaiqared I hate the fact that I'm not currently situated in that region ,0
326,@yam9972 woooo i will do ,1
327,I am trying to figure out m.slandr.net... Twitter Mobile does not work on my phone (bummer) ,0
328,@bfox11b do your worst ,1
329,Me too! lol  But my friends are all out having fun.  lol  There is nobody to talk to.,0
330,"I feel icky today. Sore throat, etc. ",0
331,@MandyyJirouxx YAYYAYYAYYAYYAYAYAYAYAAYYYYY!  hey beautiful.,1
332,is disapointed with the outcome of her weetabix cake ,0
333,"Loving these hoes. I'm swag, I'm surfin.. Kim is NOT clean like my detergent.  Rotflmfao @kyoungblood6971",1
334,@joeypage hahha Your dad sounds awesome... Mines bald ,0
335,@AlexLuker PS: I miss chatting to your sexy manly self. ,1
336,@GwenTundermann @corinnahoffman missed you two &amp; Lenara today  work is taking it's toll. I will definitely be there next time!,0
337,Windows Vista SP2: internet access with fix ip address still won't work  DHCP works flawless. #vista,0
338,is soooooooooooooo excited to be a god aunt!!! ,1
339,listening to the rain while grilling out tonight - and it's smelling good ,1
340,@CheryleLapitan heyy im feeling much better.. still super swollen ,0
341,@hananahbanana i thought it was alrite.i'll b at tennis 2nite but got geography first so mite b a bit tired. 2hrs of sitting still  haha,0
342,@deanlk That's what I said about my Stanton ATM.6 monitors - which sadly are languishing in a cupboard due to no room to set up ,0
343,At the mall with mumsie  - http://tweet.sg,1
344,@mrBuchananToYou NO! I just lost too!!! ,0
345,@Fightycat Haven't seen it. I think there's a body shop in a mall near me.  Will check it out next tim!,1
346,@hawaiigirl81 aw thank you! sorry Im a lil late on that one for some reason I can't get your @ replies  *sad*,0
347,"@sunkistcami sorry to eavesdrop, but we have tons of cool stuff for engineers (aerospace included!)  http://giftsforengineers.com",1
348,@ebassman really wish I could be there with you  seeing you in Atlanta was awesome! Cleveland is on babe! HAHA,0
349,@tia_luvsday26 omg yu def shulda done it fool ahaha. next time yo ,1
350,Just got asked to go to my friend's house. Means I have to get soaked walking to hers  can't wait to get a car!,0
351,Oh! The vocabulary word for today is obedient: A Sensual Service Submissive should always strive to be obedient.  Right Master? ,1
352,@trevorbboy  dude I was being weird and im sry idk why but u make me stutter and feel good inside,1
353,"Back in work after a few days off...calculating how many days left until I can retire...Dang it,its a biggie ",0
354,What a bummer   I have Oreos but no milk. What did I do to deserve such punishment?,0
355,@itsjay_yadigg chillllinnn lookin for somethign 2 dooo ,1
356,@nappyfro you're crazy Jerry! I've been showin love... You just don't notice when mini muffin tweets anymore! ,0
357,@TheEllenShow just remember all the scary movies  w/garbage disposal's before retrieving the spoon ,1
358,@H_I_M sure thing- working on it with the rework of the website ,1
359,"@MajorDodson This is wide open, but beautiful nonetheless, even tho I didn't understand a lot of it LOL.. I will reread with a fresh head ",1
360,This #WRH tenant had a severe case of the &quot;while you're here's&quot;  that gets kinda annoying after the sixth or seventh one in one stop ,0
361,"At work, and loving it! Today is going to be awesome, I can tell. ",1
362,@chicchick1862 good call  mmmmss,1
363,Too nice a day to be cooped up at work  need to devise an intricately woven escape plan !,0
364,@re303 Congrats!!! Bella misses you ,0
365,is upset Petco doesnt sell fish bowls that fit over your head ,0
366,@colingrady subversion? I wish. we were using CVS. ,0
367,@officialmomsen it actually sounds really pathetic on here.. ,0
368,"@Tunnelman well, good morning then ",1
369,@CalebFTSK please don't shave your head!	 ,0
370,"@joltonline  Thanks , will report anything I find from this fine day of gaming ",1
371,I'm on my way home. What do u know about Sat OT? ,1
372,@carol_carter1 @BriansSexMonkey awww thanks I feel so special *blushes* KTBSPA  #BSB,1
373,@Moobert04 Hahaha.....make a WS mix! ,1
374,Studing 4 finals  Wish me luck See you then!!! ,1
375,"Oceans Eleven isn't nearly as entertaining as I thought, just makin me miss having someone around ",0
376,Even though this sweet chilli cheese has a real kick to it it's surprisingly moreish. Shame no port ,0
377,"@Silksmom click on the name and you can see the profile - I had two followers...one was cable, the other was cell phones - all spam  ",0
378,@sarah_marina  I'm sorry. Damn all that Donnie loving got you exhausted! Check with DR. asap!,0
379,"Why did the weather channel tell me it was going to be sunny? I am walking in the rain, hearing thunder and seeing lightening ",0
380,I'm just about to set off for York ,1
381,suntan lotion gives me a beard of spots... strong fragrances make me break out  stupid sun i HATE you!,0
382,@robsteadman i dont think the bbc should be paying anything towards it ,0
383,Good Day! GoodDAY! GOODDAY2U TODAY!!! It's A NEW Day!The Lord IS My Shepherd~I SHALL NOT LACK!! Is this 4 U2??!!  YES! JustAgree!Matt18:19,1
384,@fashion081 girllll love story i'm not even going anymore too many indecisive people cant function like that ,0
385,Sitting with friends in an Italian restaurant. Love it   http://bit.ly/fDlkZ  http://twitpic.com/6u8zv,1
386,"@mikegayle I know, and now it seems the summer is already over... ",0
387,@rachaface year that i lost my grandfather ,0
388,@mishkalamushka yum! wish someone would make me homemade custard ,0
389,"@tommcfly tom not worry about chile concert, fans were more than happy anyway, i0m from chile ",1
390,This is a status update to twitter from ICE  Timestamp: Mon Jun 15 10:46:51 CEST 2009,1
